c_resid,unit,nace_r2,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
FOR,NR,I551-I553,FR21	1251233 	1260390 	1178791 	1262040 	1251877 	1205592 	1267953 	1264319 	1251984 	: c	: 	: 
FOR,NR,I551-I553,FR22	1241406 	1212337 	1157144 	1385737 	1310111 	1370295 	1492628 	1424203 	1429425 	: c	: 	: 
FOR,NR,I551-I553,FR23	1034878 	941681 	799710 	882352 	868481 	921232 	960261 	998538 	1037276 	: c	: 	: 
FOR,NR,I551-I553,FR24	2373233 	2353270 	2156083 	2400315 	2370150 	2306662 	2383379 	2353213 	2359832 	2112560 u	: 	: 
FOR,NR,I551-I553,FR25	2387568 	2263091 	2130587 	2467106 	2381424 	2209875 	2518681 	2791881 	2552561 	2339875 u	: 	: 
FOR,NR,I551-I553,FR26	2261189 	2233492 	2125869 	2293282 	2269773 	2346582 	2240439 	2413715 	2543208 	: c	: 	: 
FOR,NR,I551-I553,FR30	2249202 	2096827 	1774516 	1913361 	1904432 	1865512 	1999155 	2182915 	2205346 	: c	: 	: 
FOR,NR,I551-I553,FR41	1268703 	1238197 	1269711 	1494369 	1589713 	1751584 	1879600 	1835306 	1934816 	2007094 u	: 	: 
FOR,NR,I551-I553,FR42	2732095 	2681111 	2682963 	3082487 	3207297 	3249001 	3599617 	3598946 	3639654 	3623744 u	: 	: 
FOR,NR,I551-I553,FR43	1021003 	964050 	1055649 	1149876 	1073066 	1126247 	1097219 	1046344 	1113555 	1148576 u	: 	: 
FOR,NR,I551-I553,FR51	3025044 	3080851 	2634181 	3387538 	3246369 	2991616 	3075155 	3032490 	3282698 	2956448 	: 	: 
FOR,NR,I551-I553,FR52	3786937 	3608200 	3292378 	3852484 	3655215 	3401853 	4070253 	4288450 	4238965 	3954238 	: 	: 
FOR,NR,I551-I553,FR53	1690920 	1700341 	1559414 	1845594 	1875898 	1854477 	2003020 	1957662 	2021361 	2264628 u	: 	: 
FOR,NR,I551-I553,FR61	5925506 	5565047 	5547104 	6817843 	6924926 	6863036 	7508536 	7702480 	7624687 	7745056 	: 	: 
FOR,NR,I551-I553,FR62	4542173 	5174311 	4097939 	4848537 	4576676 	4593680 	4290438 	4128539 	4289740 	4400446 	: 	: 
FOR,NR,I551-I553,FR63	431235 	414452 	423052 	497121 	498270 	473278 	481278 	455694 	437701 	: c	: 	: 
FOR,NR,I551-I553,FR71	8123458 	7906830 	7713764 	14267702 	13863529 	14154343 	14654293 	13496568 	14249738 	13986776 	: 	: 
FOR,NR,I551-I553,FR72	808963 	787362 	719774 	861817 	866700 	914178 	835102 	868473 	863983 	881626 u	: 	: 
FOR,NR,I551-I553,FR81	7152298 	7173781 	6969068 	7761368 	7974512 	8341020 	8515675 	7980675 	7962843 	8184851 	: 	: 
FOR,NR,I551-I553,FR82	14276426 	14137609 	12700044 	16777080 	17877525 	18454256 	19076511 	18639657 	18672427 	17292201 	: 	: 
FOR,NR,I551-I553,FR83	2290836 	2243422 	2240376 	2646504 	2257945 	2281160 	3042096 	2916981 	2857418 	3210289 	: 	: 
FOR,NR,I551-I553,FRA1	: 	: 	: 	: 	: 	: 	: 	158487 	164427 	: c	: 	: 
FOR,NR,I551-I553,FRA2	: 	: 	: 	: 	201914 u	168429 	192513 	317670 	300913 	229109 u	: 	: 
FOR,NR,I551-I553,FRA3	: 	: 	: 	: 	: 	65459 	49952 	83542 	69253 	92043 u	: 	: 
FOR,NR,I551-I553,FRA4	: 	: 	: 	: 	102084 u	98142 	122619 	133544 	144946 	148009 	: 	: 
